DEX, NAME, Catch Rate, Flee Rate
19, Rattata, 255, 120
20, Raticate, 127, 90
63, Abra, 200, 120
77, Ponyta, 190, 120
203, Girafarig, 60, 60
229, Houndoom, 45, 90
234, Stantler, 45, 60
235, Smeargle, 45, 60
263, Zigzagoon, 255, 120
270, Lotad, 255, 90
283, Surskit, 200, 120
310, Manectric, 45, 90
335, Zangoose, 90, 90
403, Shinx, 235, 120
35, Clefairy, 150, 120
39, Jigglypuff, 170, 120
60, Poliwag, 255, 90
61, Poliwhirl, 120, 60
74, Geodude, 255, 90
113, Chansey, 30, 90
129, Magikarp, 255, 90
130, Gyarados, 45, 60
183, Marill, 190, 60
187, Hoppip, 255, 90
188, Skiploom, 120, 120
191, Sunkern, 235, 90
194, Wooper, 255, 120
273, Seedot, 255, 90
274, Nuzleaf, 120, 120
284, Masquerain, 75, 90
299, Nosepass, 255, 60
447, Riolu, 75, 120
29, Nidoran F, 235, 90
30, Nidorina, 120, 60
32, Nidoran M, 235, 90
33, Nidorino, 120, 60
41, Zubat, 255, 90
42, Golbat, 90, 60
111, Rhyhorn, 120, 90
112, Rhydon, 60, 60
128, Tauros, 45, 90
228, Houndour, 120, 120
285, Shroomish, 255, 120
298, Azurill, 150, 120
324, Torkoal, 90, 60
332, Cacturne, 60, 60
404, Luxio, 120, 90
22, Fearow, 90, 60
46, Paras, 190, 120
75, Graveler, 120, 60
80, Slowbro, 75, 60
81, Magnemite, 190, 90
82, Magneton, 60, 60
126, Magmar, 45, 90
202, Wobbuffet, 45, 60
264, Linoone, 90, 90
288, Vigoroth, 120, 90
305, Lairon, 90, 90
363, Spheal, 255, 90
436, Bronzor, 255, 90
79, Slowpoke, 190, 60
84, Doduo, 190, 90
85, Dodrio, 45, 60
98, Krabby, 225, 90
99, Kingler, 60, 60
118, Goldeen, 225, 90
119, Seaking, 60, 60
131, Lapras, 45, 60
179, Mareep, 235, 60
304, Aron, 180, 90
309, Eletrike, 120, 120
341, Corphish, 205, 90
406, Budew, 255, 120
443, Gible, 45, 90
21, Spearow, 255, 90
54, Psyduck, 190, 90
55, Golduck, 75, 60
83, Farfetch'd, 45, 120
132, Ditto, 35, 90
161, Sentret, 255, 120
162, Furret, 90, 90
195, Quagsire, 90, 60
271, Lombre, 120, 60
372, Shelgon, 45, 120
417, Pachirisu, 200, 120
418, Buizel, 190, 120
47, Parasect, 75, 90
70, Weepinbell, 120, 60
96, Drowzee, 190, 90
97, Hypno, 75, 60
100, Voltorb, 190, 120
147, Dratini, 45, 120
148, Dragonair, 45, 90
198, Murkrow, 30, 120
355, Duskull, 190, 120
358, Chimecho, 45, 90
371, Bagon, 45, 90
419, Floatzel, 75, 90
23, Ekans, 255, 120
24, Arbok, 90, 60
43, Oddish, 255, 90
44, Gloom, 120, 60
50, Diglett, 255, 120
88, Grimer, 190, 60
89, Muk, 75, 60
109, Koffing, 190, 90
110, Weezing, 60, 60
189, Jumpluff, 45, 120
213, Shuckle, 190, 60
315, Roselia, 150, 60
90, Seviper, 90, 90
339, Barboach, 190, 120
354, Banette, 45, 90
453, Croakgunk, 140, 150
455, Carnivine, 200, 60
66, Machop, 180, 60
67, Machoke, 90, 60
69, Bellsprout, 255, 90
95, Onix, 45, 60
115, Kanaskhan, 45, 150
286, Breloom, 90, 90
308, Medicham, 90, 60
314, Illumise, 150, 90
338, Solrock, 45, 60
451, Skorupi, 120, 120
108, Lickitung, 45, 60
246, Larvitar, 45, 90
307, Meditite, 180, 90
313, Volbeat, 150, 90
337, Lunatone, 45, 60
356, Dusclops, 90, 90
364, Sealeo, 120, 60
375, Metang, 3, 60
433, Chingling, 120, 120
27, Sandshrew, 255, 90
28, Sandslash, 90, 60
104, Cubone, 190, 90
105, Marowak, 75, 60
327, Spinda, 255, 60
328, Trapinch, 255, 120
329, Vibrava, 120, 90
331, Cacnea, 190, 90
449, Hippopotas, 140, 60
16, Pidgey, 255, 90
92, Gastly, 190, 120
93, Haunter, 90, 90
122, Mr. Mime., 45, 90
125, Electabuzz, 45, 120
200, Misdreavus, 45, 150
374, Beldum, 3, 150
399, Bidoof, 255, 90
437, Bronzong, 90, 60
